userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country,title_clean,review_clean,title_normalized,review_normalized,text_clean,text_normalized,text_length,word_count,has_title,has_review,username_clean,title_clean_language,title_clean_language_confidence,title_clean_translated,review_clean_language,review_clean_language_confidence,review_clean_translated
Akshay2021,Facebook feedback,1,2025-08-17 15:25:45+00:00,526.0.0,False,0,"Instead of showing my friends’ posts and adventures which is why everyone joined in the first place, facebook shows mindless suggestions and ads which have zero relevance and that’s why everyone has left Facebook. It’s a matter of time before everyone will leave.",,us,Facebook feedback,"Instead of showing my friends’ posts and adventures which is why everyone joined in the first place, facebook shows mindless suggestions and ads which have zero relevance and that’s why everyone has left Facebook. It’s a matter of time before everyone will leave.",facebook feedback,"instead of showing my friends posts and adventures which is why everyone joined in the first place, facebook shows mindless suggestions and ads which have zero relevance and that s why everyone has left facebook. it s a matter of time before everyone will leave.","Facebook feedback Instead of showing my friends’ posts and adventures which is why everyone joined in the first place, facebook shows mindless suggestions and ads which have zero relevance and that’s why everyone has left Facebook. It’s a matter of time before everyone will leave.","facebook feedback instead of showing my friends posts and adventures which is why everyone joined in the first place, facebook shows mindless suggestions and ads which have zero relevance and that s why everyone has left facebook. it s a matter of time before everyone will leave.",281,45,True,True,Akshay2021,en,0.8500000000000001,Facebook feedback,en,1.0,"Instead of showing my friends’ posts and adventures which is why everyone joined in the first place, facebook shows mindless suggestions and ads which have zero relevance and that’s why everyone has left Facebook. It’s a matter of time before everyone will leave."
Droner boner,Staying in Touch!,5,2025-08-17 15:14:19+00:00,526.0.0,False,0,Great place to check in with the comm!,,us,Staying in Touch!,Great place to check in with the comm!,staying in touch!,great place to check in with the comm!,Staying in Touch! Great place to check in with the comm!,staying in touch! great place to check in with the comm!,56,11,True,True,Droner boner,en,0.8500000000000001,Staying in Touch!,en,1.0,Great place to check in with the comm!
followers323457,ADS,5,2025-08-17 15:10:37+00:00,526.0.0,False,0,To many ads and random accounts that I didn’t accept,,us,ADS,To many ads and random accounts that I didn’t accept,ads,to many ads and random accounts that i didn t accept,ADS To many ads and random accounts that I didn’t accept,ads to many ads and random accounts that i didn t accept,56,11,True,True,followers323457,unknown,0.0,ADS,en,1.0,To many ads and random accounts that I didn’t accept
Batmanryguy,Restrict speech,1,2025-08-17 15:07:19+00:00,526.0.0,False,0,"My friends get their posts deleted for nothing political, its bikini pics!",,us,Restrict speech,"My friends get their posts deleted for nothing political, its bikini pics!",restrict speech,"my friends get their posts deleted for nothing political, its bikini pics!","Restrict speech My friends get their posts deleted for nothing political, its bikini pics!","restrict speech my friends get their posts deleted for nothing political, its bikini pics!",90,14,True,True,Batmanryguy,nl,0.8,Beperk spraak,en,1.0,"My friends get their posts deleted for nothing political, its bikini pics!"
Masha Tei,Friends posts,3,2025-08-17 15:05:55+00:00,526.0.0,False,0,Would like to see less commercial ads and more friends updates,,us,Friends posts,Would like to see less commercial ads and more friends updates,friends posts,would like to see less commercial ads and more friends updates,Friends posts Would like to see less commercial ads and more friends updates,friends posts would like to see less commercial ads and more friends updates,76,13,True,True,Masha Tei,nl,0.8,Vriendenberichten,en,1.0,Would like to see less commercial ads and more friends updates
Danutajazz,Best Solar,5,2025-08-17 14:56:45+00:00,526.0.0,False,0,"I save so much money since I switched to solar.
James is great and he explains  just how the billing works.
He answered all my questions and I was able to make a smart decision to switch to solar based on his knowledge and expertise.
I highly recommend Power Upgrade Solar.",,us,Best Solar,I save so much money since I switched to solar. James is great and he explains just how the billing works. He answered all my questions and I was able to make a smart decision to switch to solar based on his knowledge and expertise. I highly recommend Power Upgrade Solar.,best solar,i save so much money since i switched to solar. james is great and he explains just how the billing works. he answered all my questions and i was able to make a smart decision to switch to solar based on his knowledge and expertise. i highly recommend power upgrade solar.,Best Solar I save so much money since I switched to solar. James is great and he explains just how the billing works. He answered all my questions and I was able to make a smart decision to switch to solar based on his knowledge and expertise. I highly recommend Power Upgrade Solar.,best solar i save so much money since i switched to solar. james is great and he explains just how the billing works. he answered all my questions and i was able to make a smart decision to switch to solar based on his knowledge and expertise. i highly recommend power upgrade solar.,283,53,True,True,Danutajazz,de,0.8500000000000001,Best Solar,en,1.0,I save so much money since I switched to solar. James is great and he explains just how the billing works. He answered all my questions and I was able to make a smart decision to switch to solar based on his knowledge and expertise. I highly recommend Power Upgrade Solar.
Sunshinegayle,😳,4,2025-08-17 14:44:43+00:00,526.0.0,False,0,"I would like to see BAD language added for a reason to delete a post! Tooooooo many ads! Also… businesses selling on Facebook need to be vetted to make sure they are legit.  Also a lot of 
Nude picture I didn’t ask for.  Not clicking on them to remove them.",,us,😳,I would like to see BAD language added for a reason to delete a post! Tooooooo many ads! Also. . . businesses selling on Facebook need to be vetted to make sure they are legit. Also a lot of Nude picture I didn’t ask for. Not clicking on them to remove them.,,i would like to see bad language added for a reason to delete a post! tooooooo many ads! also. . . businesses selling on facebook need to be vetted to make sure they are legit. also a lot of nude picture i didn t ask for. not clicking on them to remove them.,😳 I would like to see BAD language added for a reason to delete a post! Tooooooo many ads! Also. . . businesses selling on Facebook need to be vetted to make sure they are legit. Also a lot of Nude picture I didn’t ask for. Not clicking on them to remove them.,i would like to see bad language added for a reason to delete a post! tooooooo many ads! also. . . businesses selling on facebook need to be vetted to make sure they are legit. also a lot of nude picture i didn t ask for. not clicking on them to remove them.,260,53,True,True,Sunshinegayle,unknown,0.0,😳,en,1.0,I would like to see BAD language added for a reason to delete a post! Tooooooo many ads! Also. . . businesses selling on Facebook need to be vetted to make sure they are legit. Also a lot of Nude picture I didn’t ask for. Not clicking on them to remove them.
Poderosa bendiciones,Poderosa,5,2025-08-17 14:23:13+00:00,526.0.0,False,0,Me gusta Facebook es completo gracias por todo bendiciones,,us,Poderosa,Me gusta Facebook es completo gracias por todo bendiciones,poderosa,me gusta facebook es completo gracias por todo bendiciones,Poderosa Me gusta Facebook es completo gracias por todo bendiciones,poderosa me gusta facebook es completo gracias por todo bendiciones,67,10,True,True,Poderosa bendiciones,pt,0.8500000000000001,Powerful,es,1.0,"I like Facebook, it's comprehensive. Thank you for everything, blessings."
FOXXXXX0X,العراق,1,2025-08-17 14:13:55+00:00,526.0.0,False,0,التحديث الأخير سيئ جدا شكل التعليقات سيئ اتمنى ان يعود الشكل القديم قبل حذف التطبيق,,us,العراق,التحديث الأخير سيئ جدا شكل التعليقات سيئ اتمنى ان يعود الشكل القديم قبل حذف التطبيق,العراق,التحديث الأخير سيئ جدا شكل التعليقات سيئ اتمنى ان يعود الشكل القديم قبل حذف التطبيق,العراق التحديث الأخير سيئ جدا شكل التعليقات سيئ اتمنى ان يعود الشكل القديم قبل حذف التطبيق,العراق التحديث الأخير سيئ جدا شكل التعليقات سيئ اتمنى ان يعود الشكل القديم قبل حذف التطبيق,90,16,True,True,FOXXXXX0X,ar,0.8,Iraq,ar,0.95,"The latest update is very bad, the comments section looks terrible. I hope the old format comes back before deleting the app."
ابو زيرك,كردستان العراق,5,2025-08-17 14:05:42+00:00,526.0.0,False,0,جيد جدا,,us,كردستان العراق,جيد جدا,كردستان العراق,جيد جدا,كردستان العراق جيد جدا,كردستان العراق جيد جدا,22,4,True,True,ابو زيرك,ar,0.8,Iraqi Kurdistan,ur,0.8,Very good
